Source,Target,weight
Armenia,Azerbaijan,0.06122449
Andorra,Bosnia & Herzegovina,0.0625
France,Slovakia,0.071428571
Andorra,F.Y.R. Macedonia,0.071428571
Montenegro,Germany,0.086956522
Montenegro,United Kingdom,0.086956522
F.Y.R. Macedonia,Spain,0.135135135
Austria,Montenegro,0.15
Andorra,Croatia,0.166666667
Monaco,Poland,0.166666667
Belarus,Monaco,0.166666667
Andorra,Montenegro,0.166666667
North Macedonia,Greece,0.166666667
Serbia,Turkey,0.176470588
Montenegro,Georgia,0.181818182
Montenegro,Lithuania,0.1875
Bosnia & Herzegovina,Cyprus,0.214285714
Montenegro,Poland,0.222222222
Belarus,Spain,0.236842105
Armenia,Ireland,0.242424242
Belarus,Germany,0.243902439
Belarus,United Kingdom,0.243902439
Montenegro,Ireland,0.25
Belgium,North Macedonia,0.25
Andorra,Armenia,0.272727273
Montenegro,Finland,0.285714286
F.Y.R. Macedonia,Iceland,0.294117647
Lithuania,Albania,0.3
Montenegro,Latvia,0.304347826
Latvia,Turkey,0.307692308
Estonia,Montenegro,0.307692308
Bosnia & Herzegovina,Latvia,0.310344828
Latvia,Albania,0.314814815
Slovakia,Turkey,0.333333333
Bosnia & Herzegovina,Lithuania,0.34375
Cyprus,Turkey,0.360655738
Andorra,Belarus,0.363636364
F.Y.R. Macedonia,Germany,0.372093023
F.Y.R. Macedonia,Lithuania,0.372093023
Finland,Slovakia,0.4
F.Y.R. Macedonia,Ireland,0.4
Monaco,Moldova,0.4
Montenegro,Spain,0.407407407
Andorra,Germany,0.416666667
Georgia,Spain,0.416666667
Monaco,F.Y.R. Macedonia,0.444444444
Armenia,Lithuania,0.444444444
F.Y.R. Macedonia,Poland,0.448275862
Estonia,Albania,0.466666667
Bosnia & Herzegovina,Estonia,0.477272727
France,Morocco,0.5
Luxembourg,Slovenia,0.5
Slovakia,Spain,0.5
Slovakia,The Netherlands,0.5
Andorra,Serbia & Montenegro,0.5
Albania,Georgia,0.5
Bosnia & Herzegovina,Georgia,0.5
Ireland,Serbia,0.5
Latvia,Serbia,0.5
Macedonia,The Netherlands,0.5
San Marino,Germany,0.535714286
Lithuania,Turkey,0.545454545
Andorra,United Kingdom,0.545454545
Slovakia,Switzerland,0.571428571
F.Y.R. Macedonia,France,0.575
Georgia,Ireland,0.583333333
Belarus,Ireland,0.609756098
Albania,Czech Republic,0.612903226
Bosnia & Herzegovina,Iceland,0.613636364
Montenegro,Switzerland,0.615384615
Bosnia & Herzegovina,Hungary,0.625
Lithuania,Spain,0.62745098
Poland,Turkey,0.633333333
Belgium,Montenegro,0.642857143
San Marino,Austria,0.642857143
Serbia,United Kingdom,0.65
Czech Republic,Germany,0.652173913
Malta,Monaco,0.666666667
Andorra,Belgium,0.666666667
Andorra,Cyprus,0.666666667
F.Y.R. Macedonia,Georgia,0.666666667
North Macedonia,Lithuania,0.666666667
F.Y.R. Macedonia,United Kingdom,0.682926829
Azerbaijan,Germany,0.682926829
San Marino,Belarus,0.705882353
Belarus,France,0.707317073
Monaco,Albania,0.714285714
F.Y.R. Macedonia,Portugal,0.71875
Albania,Ireland,0.720930233
Armenia,Denmark,0.722222222
Andorra,Estonia,0.727272727
Austria,F.Y.R. Macedonia,0.742857143
Estonia,F.Y.R. Macedonia,0.75
Montenegro,The Netherlands,0.75
Montenegro,France,0.76
Armenia,United Kingdom,0.769230769
Slovenia,Armenia,0.774193548
Lithuania,Slovakia,0.777777778
Belgium,Croatia,0.78
Azerbaijan,Finland,0.795454545
Bosnia & Herzegovina,Portugal,0.8
F.Y.R. Macedonia,Latvia,0.8
Finland,Georgia,0.815789474
Andorra,Switzerland,0.818181818
Germany,Moldova,0.818181818
Moldova,Andorra,0.818181818
Greece,Latvia,0.82
Belgium,F.Y.R. Macedonia,0.825
Denmark,F.Y.R. Macedonia,0.829268293
Serbia,Spain,0.829268293
Latvia,Romania,0.833333333
Latvia,Spain,0.833333333
Estonia,Serbia & Montenegro,0.833333333
Poland,Serbia & Montenegro,0.833333333
F.Y.R. Macedonia,Norway,0.837209302
San Marino,Spain,0.84375
Estonia,Serbia,0.85106383
F.Y.R. Macedonia,The Netherlands,0.852941176
Armenia,Croatia,0.857142857
Greece,Lithuania,0.884615385
F.Y.R. Macedonia,Slovakia,0.888888889
Czech Republic,Turkey,0.888888889
Belarus,Denmark,0.891304348
France,Georgia,0.891891892
Georgia,United Kingdom,0.894736842
Belarus,Switzerland,0.897435897
Czech Republic,Montenegro,0.92
F.Y.R. Macedonia,Finland,0.923076923
Belarus,Albania,0.925
Croatia,Poland,0.926829268
Albania,Armenia,0.930232558
Azerbaijan,United Kingdom,0.930232558
Slovenia,Spain,0.931034483
Slovenia,Turkey,0.947368421
Poland,Spain,0.947368421
Croatia,Estonia,0.95
Bosnia & Herzegovina,Spain,0.954545455
Armenia,Finland,0.955555556
Portugal,Yugoslavia,0.961538462
Lithuania,Slovenia,0.963636364
Portugal,Turkey,0.971830986
Lithuania,Serbia,0.977272727
Monaco,Yugoslavia,1
Denmark,Morocco,1
Romania,Slovakia,1
Cyprus,F.Y.R. Macedonia,1
Andorra,Ireland,1
Monaco,Iceland,1
Denmark,Georgia,1
Iceland,Montenegro,1
Andorra,San Marino,1
San Marino,Slovenia,1
Slovakia,Belarus,1
San Marino,Lithuania,1
Belarus,Finland,1.025
Georgia,Slovenia,1.025
Bosnia & Herzegovina,Israel,1.025641026
Estonia,Turkey,1.028571429
F.Y.R. Macedonia,Hungary,1.033333333
Czech Republic,United Kingdom,1.033333333
Cyprus,Poland,1.037735849
Malta,Poland,1.038461538
Estonia,Romania,1.041666667
Belarus,Romania,1.051282051
Estonia,Armenia,1.054054054
Croatia,Finland,1.063829787
Azerbaijan,Spain,1.066666667
Georgia,Romania,1.068965517
Belarus,The Netherlands,1.076923077
Slovenia,United Kingdom,1.081967213
Belarus,Italy,1.083333333
Slovakia,Slovenia,1.090909091
Albania,Poland,1.090909091
Andorra,Albania,1.090909091
Andorra,Latvia,1.090909091
Lithuania,Romania,1.1
Hungary,Lithuania,1.105263158
San Marino,Croatia,1.105263158
Bosnia & Herzegovina,Moldova,1.107142857
Austria,Cyprus,1.111111111
Russia,Slovakia,1.111111111
Albania,Ukraine,1.113636364
Monaco,Norway,1.117647059
Armenia,Hungary,1.117647059
Armenia,Latvia,1.125
Slovakia,Albania,1.142857143
Georgia,Germany,1.147058824
Denmark,Greece,1.148148148
The Netherlands,Moldova,1.148148148
Ireland,San Marino,1.15
Estonia,Spain,1.151515152
Estonia,San Marino,1.151515152
Azerbaijan,Serbia,1.15625
Belarus,Bosnia & Herzegovina,1.16
Bosnia & Herzegovina,United Kingdom,1.166666667
Albania,The Netherlands,1.166666667
Estonia,Monaco,1.166666667
Monaco,Slovenia,1.166666667
Georgia,Serbia,1.170212766
Norway,Georgia,1.170731707
Ireland,Moldova,1.175
Switzerland,Georgia,1.176470588
Iceland,Turkey,1.181818182
Belarus,Turkey,1.181818182
Andorra,Slovenia,1.181818182
Croatia,Spain,1.183333333
Iceland,Armenia,1.186046512
Cyprus,Latvia,1.191489362
Germany,Slovenia,1.196721311
Sweden,North Macedonia,1.214285714
Belgium,San Marino,1.217391304
Albania,United Kingdom,1.22
Switzerland,Ukraine,1.225
Albania,Serbia,1.227272727
Croatia,Georgia,1.227272727
Croatia,Lithuania,1.234375
Denmark,Albania,1.236363636
Hungary,Slovakia,1.25
Denmark,Moldova,1.25
Portugal,North Macedonia,1.25
Croatia,Sweden,1.253521127
San Marino,Switzerland,1.259259259
Belgium,Bosnia & Herzegovina,1.263157895
Croatia,Moldova,1.263157895
Armenia,Australia,1.263157895
Belarus,Belgium,1.266666667
Croatia,Denmark,1.271186441
Bosnia & Herzegovina,Poland,1.285714286
Andorra,Turkey,1.285714286
Lithuania,Serbia & Montenegro,1.285714286
Turkey,Andorra,1.285714286
Iceland,Georgia,1.289473684
Bulgaria,Latvia,1.294117647
Australia,Azerbaijan,1.296296296
Ireland,North Macedonia,1.3
Belarus,F.Y.R. Macedonia,1.302325581
France,Slovenia,1.305084746
Czech Republic,Romania,1.307692308
Denmark,Serbia,1.31372549
Belarus,Slovenia,1.325
Russia,Switzerland,1.326086957
France,Latvia,1.326530612
Estonia,Greece,1.328571429
Andorra,Austria,1.333333333
San Marino,Romania,1.333333333
San Marino,Portugal,1.346153846
Finland,Romania,1.346938776
Croatia,Iceland,1.357142857
Switzerland,Azerbaijan,1.358974359
Israel,Montenegro,1.36
Ireland,Slovenia,1.360655738
Belarus,Portugal,1.361111111
Poland,Serbia,1.372093023
Iceland,Luxembourg,1.375
San Marino,F.Y.R. Macedonia,1.375
Germany,Lithuania,1.379310345
Malta,Slovenia,1.389830508
San Marino,Finland,1.393939394
Azerbaijan,Iceland,1.395833333
Poland,Slovakia,1.4
Armenia,Switzerland,1.4
Cyprus,Slovenia,1.402985075
Luxembourg,Turkey,1.40625
Malta,Moldova,1.418604651
France,Malta,1.426666667
Ireland,Serbia & Montenegro,1.428571429
Latvia,Serbia & Montenegro,1.428571429
Malta,Serbia & Montenegro,1.428571429
Latvia,Monaco,1.428571429
Czech Republic,France,1.428571429
Moldova,United Kingdom,1.431818182
Belarus,Croatia,1.432432432
Bosnia & Herzegovina,Romania,1.454545455
Hungary,Latvia,1.459459459
Bulgaria,Iceland,1.459459459
Georgia,Hungary,1.459459459
Azerbaijan,Denmark,1.461538462
Croatia,Romania,1.468085106
Greece,Sweden,1.472527473
Malta,Portugal,1.475409836
Australia,Montenegro,1.47826087
Norway,Spain,1.480392157
Finland,Albania,1.480769231
Cyprus,Montenegro,1.483870968
Cyprus,Germany,1.493975904
Austria,Morocco,1.5
Cyprus,Slovakia,1.5
F.Y.R. Macedonia,Israel,1.5
Albania,Norway,1.5
Iceland,Serbia & Montenegro,1.5
Andorra,Lithuania,1.5
Albania,Moldova,1.5
Czech Republic,Lithuania,1.5
The Netherlands,Georgia,1.5
Denmark,Montenegro,1.5
Georgia,Macedonia,1.5
San Marino,North Macedonia,1.5
Israel,Albania,1.510638298
Albania,Romania,1.512195122
Bulgaria,Sweden,1.512820513
Austria,Ukraine,1.514285714
San Marino,Denmark,1.516129032
Australia,Georgia,1.517241379
Israel,Slovenia,1.523076923
Belgium,Azerbaijan,1.523809524
Montenegro,Belarus,1.526315789
Albania,Iceland,1.527272727
Denmark,Spain,1.528089888
Finland,Moldova,1.530612245
Cyprus,Portugal,1.530864198
Finland,Turkey,1.532258065
Belarus,Austria,1.540540541
Slovakia,United Kingdom,1.545454545
Andorra,Poland,1.545454545
San Marino,France,1.545454545
Slovenia,Albania,1.552631579
Croatia,Latvia,1.555555556
Moldova,Switzerland,1.555555556
Croatia,France,1.557377049
Greece,Slovenia,1.557377049
France,Lithuania,1.557692308
Slovenia,Moldova,1.558139535
France,Hungary,1.566037736
Austria,Latvia,1.567567568
Hungary,United Kingdom,1.571428571
Monaco,Romania,1.571428571
Lithuania,Monaco,1.571428571
Croatia,Norway,1.579710145
Romania,United Kingdom,1.58
Austria,Moldova,1.581395349
Israel,Latvia,1.583333333
Montenegro,Portugal,1.583333333
Croatia,United Kingdom,1.587301587
San Marino,Serbia,1.588235294
Cyprus,The Netherlands,1.592592593
Czech Republic,Greece,1.594594595
Czech Republic,Latvia,1.6
Israel,Serbia,1.6
San Marino,United Kingdom,1.6
Austria,Lithuania,1.604166667
F.Y.R. Macedonia,Greece,1.605263158
Albania,Spain,1.607843137
Denmark,Portugal,1.61038961
Norway,Turkey,1.611111111
Montenegro,Hungary,1.612903226
Norway,Yugoslavia,1.615384615
Armenia,Serbia,1.615384615
Azerbaijan,France,1.615384615
Monaco,Portugal,1.625
Poland,Portugal,1.625
Romania,Slovenia,1.632653061
Monaco,Turkey,1.636363636
Andorra,Denmark,1.636363636
Finland,Malta,1.639344262
Germany,Ukraine,1.64
Armenia,F.Y.R. Macedonia,1.64
San Marino,Latvia,1.64
Israel,Turkey,1.640625
Belarus,Serbia,1.642857143
Finland,Slovenia,1.652173913
Austria,Azerbaijan,1.657142857
Estonia,Slovenia,1.660377358
Cyprus,Luxembourg,1.666666667
Ukraine,United Kingdom,1.666666667
Belgium,Serbia & Montenegro,1.666666667
Bulgaria,Serbia & Montenegro,1.666666667
Slovakia,Italy,1.666666667
Belgium,Moldova,1.673913043
Bosnia & Herzegovina,Russia,1.674418605
Ireland,Azerbaijan,1.674418605
Malta,Serbia,1.675
Hungary,Spain,1.68
Czech Republic,Denmark,1.681818182
F.Y.R. Macedonia,Sweden,1.682926829
Iceland,Moldova,1.6875
Iceland,Romania,1.69047619
Austria,Norway,1.693181818
Croatia,Portugal,1.693877551
Austria,Luxembourg,1.694444444
Hungary,Moldova,1.697674419
Czech Republic,San Marino,1.708333333
Czech Republic,Norway,1.714285714
Lithuania,Moldova,1.717948718
Hungary,Italy,1.724137931
Germany,Slovakia,1.727272727
Finland,Spain,1.73
Czech Republic,Switzerland,1.730769231
Estonia,Germany,1.736842105
Slovenia,Switzerland,1.744186047
Greece,Iceland,1.75
Andorra,Malta,1.75
Andorra,Czech Republic,1.75
Czech Republic,North Macedonia,1.75
Albania,France,1.760869565
Hungary,Malta,1.764705882
Israel,Lithuania,1.765625
Greece,Luxembourg,1.766666667
Montenegro,Romania,1.772727273
Germany,Romania,1.775862069
San Marino,Bosnia & Herzegovina,1.777777778
Austria,Greece,1.779069767
Greece,Poland,1.78125
Romania,Serbia,1.787878788
Armenia,Norway,1.789473684
Belgium,Serbia,1.794871795
Cyprus,Czech Republic,1.794871795
Estonia,Moldova,1.8
Czech Republic,Italy,1.8
Iceland,Slovenia,1.803921569
Lithuania,Malta,1.806451613
Russia,United Kingdom,1.807017544
Denmark,Luxembourg,1.8125
Cyprus,Lithuania,1.813559322
Norway,Portugal,1.815217391
Albania,Germany,1.818181818
San Marino,Australia,1.818181818
Albania,Russia,1.82
Finland,Portugal,1.822222222
Portugal,Slovenia,1.830188679
Portugal,Slovakia,1.833333333
Serbia & Montenegro,United Kingdom,1.833333333
Poland,Moldova,1.833333333
Austria,Georgia,1.833333333
Bosnia & Herzegovina,Greece,1.844444444
Spain,Yugoslavia,1.846153846
Belarus,Iceland,1.846153846
Denmark,Turkey,1.848484848
Malta,Georgia,1.848484848
Greece,Norway,1.849462366
Portugal,Albania,1.85106383
Czech Republic,Georgia,1.851851852
Cyprus,Iceland,1.853658537
Austria,Finland,1.855421687
Luxembourg,Norway,1.868421053
Cyprus,Hungary,1.875
Monaco,Ukraine,1.875
Estonia,Malta,1.879310345
Estonia,Israel,1.879310345
Croatia,Israel,1.883333333
Germany,Yugoslavia,1.884615385
Poland,Romania,1.888888889
Belarus,Hungary,1.888888889
Cyprus,Switzerland,1.894736842
Cyprus,Moldova,1.895833333
Croatia,Greece,1.898305085
North Macedonia,Cyprus,1.9
Croatia,Ireland,1.907692308
Croatia,The Netherlands,1.911764706
Armenia,Bosnia & Herzegovina,1.913043478
Cyprus,Finland,1.915662651
Austria,Portugal,1.917808219
Austria,Spain,1.921348315
Germany,Malta,1.922077922
Estonia,Azerbaijan,1.923076923
Belgium,Slovenia,1.93442623
Monaco,Spain,1.9375
France,Ukraine,1.93877551
Israel,Poland,1.942307692
Ireland,Ukraine,1.942307692
Greece,Yugoslavia,1.944444444
Greece,Turkey,1.95
Finland,Greece,1.952380952
Belgium,Finland,1.957894737
Austria,Yugoslavia,1.958333333
Montenegro,Norway,1.958333333
F.Y.R. Macedonia,Moldova,1.96
Spain,United Kingdom,1.960784314
Cyprus,Norway,1.965116279
Finland,Germany,1.965517241
Slovenia,The Netherlands,1.966666667
Cyprus,Estonia,1.969230769
Montenegro,Sweden,1.971428571
Bosnia & Herzegovina,Finland,1.972972973
Belgium,Cyprus,1.978021978
France,Moldova,1.979166667
Azerbaijan,Sweden,1.981132075
Austria,Malta,1.983606557
Cyprus,Denmark,1.987654321
Finland,Luxembourg,2
Austria,Monaco,2
Morocco,Norway,2
Iceland,Israel,2
Bosnia & Herzegovina,Ireland,2
Austria,Slovakia,2
Estonia,Poland,2
Portugal,Russia,2
Andorra,Russia,2
Monaco,Croatia,2
Armenia,Germany,2
Slovenia,Azerbaijan,2
Slovakia,Denmark,2
Estonia,Macedonia,2
Greece,Macedonia,2
Australia,Croatia,2
Norway,North Macedonia,2
Greece,Ireland,2.011904762
Finland,The Netherlands,2.0125
Belgium,Malta,2.017241379
Lithuania,Switzerland,2.01754386
Iceland,Lithuania,2.020833333
The Netherlands,Azerbaijan,2.02173913
Germany,Hungary,2.022222222
F.Y.R. Macedonia,Switzerland,2.023809524
Hungary,Slovenia,2.024390244
San Marino,Israel,2.032258065
Russia,Spain,2.032786885
Poland,Slovenia,2.032786885
Bosnia & Herzegovina,Malta,2.041666667
Cyprus,France,2.046511628
Lithuania,Portugal,2.046511628
Finland,Lithuania,2.047619048
Belarus,Sweden,2.048780488
Spain,The Netherlands,2.053191489
Spain,Sweden,2.058252427
Iceland,Malta,2.058823529
Russia,The Netherlands,2.059701493
Germany,Greece,2.06741573
Malta,Spain,2.071428571
Norway,Slovakia,2.076923077
Romania,Switzerland,2.076923077
Hungary,Portugal,2.078947368
Moldova,Spain,2.081632653
San Marino,Iceland,2.083333333
Armenia,Italy,2.086956522
Bosnia & Herzegovina,Italy,2.090909091
Iceland,Spain,2.095238095
North Macedonia,Israel,2.1
Cyprus,Serbia,2.105263158
Czech Republic,Finland,2.111111111
Bulgaria,Lithuania,2.113636364
Finland,Ukraine,2.114285714
Bulgaria,Switzerland,2.11627907
Poland,The Netherlands,2.12244898
North Macedonia,Australia,2.125
Italy,The Netherlands,2.129032258
Latvia,The Netherlands,2.130434783
Denmark,Lithuania,2.133333333
Estonia,France,2.134328358
Finland,France,2.142857143
Albania,Belgium,2.142857143
Australia,Slovenia,2.142857143
Greece,Hungary,2.148148148
Poland,Georgia,2.15
Ireland,Portugal,2.151898734
Croatia,Germany,2.152542373
Andorra,Norway,2.153846154
Finland,Serbia,2.157894737
Czech Republic,Spain,2.161290323
Ireland,Spain,2.163043478
Germany,Latvia,2.163265306
Israel,Slovakia,2.166666667
Denmark,Italy,2.177419355
France,Norway,2.184466019
Denmark,France,2.184782609
Estonia,Switzerland,2.1875
Iceland,Russia,2.189655172
Finland,Yugoslavia,2.192307692
The Netherlands,Ukraine,2.192982456
Denmark,Poland,2.204081633
Spain,Ukraine,2.204545455
Moldova,Serbia,2.204545455
Russia,Turkey,2.205882353
San Marino,Ukraine,2.208333333
Australia,Romania,2.210526316
Bulgaria,The Netherlands,2.212121212
F.Y.R. Macedonia,Malta,2.214285714
Bulgaria,Poland,2.214285714
Germany,Serbia,2.219512195
Latvia,Slovenia,2.222222222
Iceland,Ukraine,2.225
Greece,Portugal,2.225806452
Portugal,Armenia,2.225806452
Austria,Armenia,2.225806452
Lithuania,The Netherlands,2.228070175
San Marino,Poland,2.233333333
Hungary,Ireland,2.236842105
Germany,Iceland,2.23943662
Albania,Australia,2.24
Ireland,Turkey,2.242424242
Greece,Israel,2.244444444
Poland,Switzerland,2.25
Finland,North Macedonia,2.25
San Marino,Georgia,2.259259259
Latvia,Poland,2.260869565
F.Y.R. Macedonia,Azerbaijan,2.263157895
San Marino,Norway,2.264705882
Italy,United Kingdom,2.265625
Andorra,Romania,2.266666667
Czech Republic,Estonia,2.266666667
Norway,Slovenia,2.267605634
Denmark,Ukraine,2.275862069
Bulgaria,Slovenia,2.275862069
Latvia,Italy,2.275862069
Moldova,Norway,2.276595745
Armenia,Romania,2.277777778
Albania,Malta,2.279069767
Czech Republic,Malta,2.28
Romania,Sweden,2.285714286
Czech Republic,The Netherlands,2.285714286
Belarus,Cyprus,2.292682927
Latvia,Moldova,2.294117647
Bulgaria,Germany,2.297297297
F.Y.R. Macedonia,Russia,2.3
Slovakia,Moldova,2.3
Estonia,United Kingdom,2.305084746
France,Romania,2.307692308
Finland,United Kingdom,2.311827957
Bulgaria,Denmark,2.318181818
San Marino,Sweden,2.322580645
Greece,Switzerland,2.325581395
Albania,Austria,2.333333333
Monaco,Serbia & Montenegro,2.333333333
Serbia & Montenegro,Spain,2.333333333
Bulgaria,Bosnia & Herzegovina,2.333333333
North Macedonia,Iceland,2.333333333
North Macedonia,Ukraine,2.333333333
Poland,United Kingdom,2.339285714
