Source,Target,weight
Finland,Poland,2.34
Albania,Sweden,2.34
Portugal,Serbia,2.342105263
Montenegro,Moldova,2.34375
Luxembourg,Yugoslavia,2.346153846
Romania,The Netherlands,2.35
Israel,Portugal,2.353658537
Ireland,Israel,2.362745098
Andorra,The Netherlands,2.363636364
San Marino,Russia,2.363636364
Latvia,United Kingdom,2.367346939
The Netherlands,United Kingdom,2.376344086
Croatia,Cyprus,2.376811594
Poland,Russia,2.382978723
Iceland,Serbia,2.384615385
Norway,United Kingdom,2.386792453
Italy,Sweden,2.388888889
France,Poland,2.4
Iceland,Slovakia,2.4
Greece,The Netherlands,2.404761905
Belgium,Hungary,2.405405405
Albania,Hungary,2.41025641
Croatia,Turkey,2.413043478
San Marino,The Netherlands,2.424242424
Australia,Cyprus,2.424242424
Belarus,Estonia,2.425531915
Denmark,Russia,2.426229508
Denmark,Serbia & Montenegro,2.428571429
Serbia & Montenegro,Turkey,2.428571429
Serbia & Montenegro,Denmark,2.428571429
Czech Republic,Serbia,2.428571429
Czech Republic,Belarus,2.44
Sweden,Turkey,2.441558442
France,Russia,2.45
Belarus,Norway,2.452380952
Belgium,Estonia,2.465517241
Iceland,Ireland,2.46969697
Spain,Turkey,2.471428571
Greece,United Kingdom,2.473684211
Denmark,Slovenia,2.482758621
Hungary,Israel,2.488372093
Iceland,United Kingdom,2.493670886
Morocco,Spain,2.5
Hungary,Switzerland,2.5
Hungary,Turkey,2.5
Andorra,Iceland,2.5
Moldova,Sweden,2.5
Montenegro,Turkey,2.5
Czech Republic,Poland,2.5
Germany,North Macedonia,2.5
North Macedonia,Belarus,2.5
Bosnia & Herzegovina,Denmark,2.514285714
Azerbaijan,Italy,2.514285714
Denmark,Israel,2.516853933
Austria,Estonia,2.517241379
The Netherlands,Serbia,2.523809524
Estonia,Portugal,2.527272727
Cyprus,Ireland,2.528735632
Romania,Ukraine,2.530612245
Bosnia & Herzegovina,Ukraine,2.533333333
Iceland,Italy,2.534883721
Austria,Belgium,2.536585366
Ireland,Slovakia,2.538461538
Belgium,Iceland,2.540540541
Belgium,Romania,2.541666667
Malta,Switzerland,2.545454545
Azerbaijan,Croatia,2.547619048
Latvia,Switzerland,2.555555556
Austria,Slovenia,2.558139535
Australia,Austria,2.5625
Austria,Poland,2.564102564
Azerbaijan,Latvia,2.567567568
France,Iceland,2.569620253
Israel,Moldova,2.575
Norway,Romania,2.575757576
Belgium,Georgia,2.575757576
Denmark,Switzerland,2.584269663
Finland,Monaco,2.588235294
Denmark,Romania,2.596491228
France,United Kingdom,2.6
Andorra,France,2.6
Australia,Greece,2.6
The Netherlands,Australia,2.6
Bosnia & Herzegovina,Germany,2.604651163
Belgium,Norway,2.612903226
Andorra,Sweden,2.615384615
Germany,Norway,2.621621622
Bulgaria,Estonia,2.621621622
France,Germany,2.62244898
Belgium,Monaco,2.625
Albania,Cyprus,2.625
Denmark,North Macedonia,2.625
Portugal,The Netherlands,2.628205128
Georgia,Italy,2.62962963
Belgium,Greece,2.630434783
San Marino,Hungary,2.631578947
Montenegro,Bulgaria,2.636363636
Bosnia & Herzegovina,The Netherlands,2.642857143
Finland,Latvia,2.642857143
Monaco,Switzerland,2.647058824
Slovenia,Ukraine,2.648148148
Cyprus,Spain,2.648351648
Ireland,Russia,2.649122807
Georgia,Sweden,2.65
Belgium,Luxembourg,2.657894737
Belgium,Switzerland,2.658536585
Greece,Ukraine,2.658536585
Azerbaijan,Norway,2.66
Austria,Turkey,2.660377358
Iceland,Poland,2.660714286
Norway,Ukraine,2.661016949
France,Serbia & Montenegro,2.666666667
Bulgaria,Croatia,2.666666667
Azerbaijan,Poland,2.666666667
North Macedonia,Latvia,2.666666667
Germany,Israel,2.673267327
San Marino,Cyprus,2.678571429
Australia,Italy,2.678571429
Denmark,Yugoslavia,2.681818182
Bulgaria,Ireland,2.684210526
Norway,Serbia,2.6875
Belgium,Israel,2.7
Luxembourg,Monaco,2.7
Estonia,Italy,2.703703704
Germany,Russia,2.704918033
Portugal,United Kingdom,2.705263158
The Netherlands,Yugoslavia,2.708333333
Belgium,Spain,2.714285714
Austria,Russia,2.714285714
Greece,Slovakia,2.714285714
Israel,Georgia,2.714285714
Montenegro,San Marino,2.72
Belarus,Greece,2.720930233
Portugal,Georgia,2.727272727
Cyprus,United Kingdom,2.730337079
Austria,Denmark,2.735632184
Australia,Serbia,2.741935484
Austria,France,2.747126437
North Macedonia,Moldova,2.75
Austria,Israel,2.759036145
Bulgaria,Georgia,2.764705882
Belarus,Malta,2.769230769
Belgium,Germany,2.774193548
Bulgaria,Norway,2.775
F.Y.R. Macedonia,Romania,2.785714286
Iceland,The Netherlands,2.787878788
Luxembourg,Switzerland,2.789473684
Belgium,Denmark,2.797619048
Cyprus,Sweden,2.8
Denmark,Malta,2.8
Estonia,The Netherlands,2.805970149
Latvia,Malta,2.8125
F.Y.R. Macedonia,Italy,2.8125
Russia,Sweden,2.814285714
Denmark,Finland,2.815789474
Italy,Norway,2.816901408
Serbia,Ukraine,2.818181818
Bulgaria,Italy,2.818181818
France,Ireland,2.820224719
Cyprus,Israel,2.820224719
Ireland,Monaco,2.823529412
Austria,Germany,2.825581395
Poland,Armenia,2.827586207
Malta,Yugoslavia,2.833333333
Spain,Switzerland,2.833333333
Portugal,Serbia & Montenegro,2.833333333
Andorra,Monaco,2.833333333
Andorra,Hungary,2.833333333
Malta,Montenegro,2.833333333
Belgium,United Kingdom,2.842105263
Israel,Norway,2.849056604
Austria,Iceland,2.850746269
Sweden,Ukraine,2.852459016
Israel,Italy,2.85483871
Ireland,Romania,2.857142857
Norway,Switzerland,2.86
Belgium,Latvia,2.863636364
Germany,Luxembourg,2.868421053
Germany,Spain,2.87
Azerbaijan,Portugal,2.882352941
Bosnia & Herzegovina,France,2.888888889
Malta,Norway,2.896551724
Portugal,Sweden,2.897959184
Slovenia,Sweden,2.904109589
Belgium,Italy,2.90625
France,Sweden,2.913461538
Andorra,Greece,2.923076923
Austria,Croatia,2.927272727
Czech Republic,Moldova,2.928571429
Monaco,Sweden,2.933333333
Israel,Spain,2.936170213
Finland,Ireland,2.936708861
Monaco,The Netherlands,2.941176471
Belarus,Poland,2.941176471
Moldova,Turkey,2.944444444
Austria,Romania,2.954545455
Belarus,Australia,2.954545455
San Marino,Armenia,2.956521739
Belgium,Lithuania,2.958333333
Malta,Ukraine,2.96
Belgium,Yugoslavia,2.961538462
Italy,Luxembourg,2.96875
Belarus,Latvia,2.96875
Bulgaria,Romania,2.970588235
F.Y.R. Macedonia,Ukraine,2.975
Lithuania,Azerbaijan,2.978723404
Germany,United Kingdom,3
Ireland,Yugoslavia,3
Morocco,Sweden,3
Croatia,Russia,3
Lithuania,Poland,3
Cyprus,Ukraine,3
Israel,Serbia & Montenegro,3
Moldova,Serbia & Montenegro,3
Bulgaria,Finland,3
Austria,Czech Republic,3
Australia,Estonia,3
Australia,Russia,3
F.Y.R. Macedonia,Australia,3
Belgium,Macedonia,3
Macedonia,Moldova,3
United Kingdom,North Macedonia,3
North Macedonia,Romania,3
France,Spain,3.01
Hungary,Sweden,3.02
Belarus,Israel,3.020408163
Bulgaria,France,3.027027027
Bulgaria,Portugal,3.029411765
Czech Republic,Sweden,3.03030303
Switzerland,Yugoslavia,3.038461538
Australia,Hungary,3.04
Israel,Malta,3.041666667
Ireland,Poland,3.041666667
Bulgaria,San Marino,3.05
Malta,The Netherlands,3.054054054
Georgia,Moldova,3.057142857
Czech Republic,Ireland,3.0625
Czech Republic,F.Y.R. Macedonia,3.066666667
Germany,Portugal,3.068181818
Belgium,Czech Republic,3.068965517
France,Greece,3.072164948
Sweden,Switzerland,3.075268817
Luxembourg,Sweden,3.083333333
Austria,The Netherlands,3.090909091
Portugal,Australia,3.090909091
Hungary,Ukraine,3.1
Luxembourg,Spain,3.105263158
Belarus,Bulgaria,3.105263158
Germany,Italy,3.109375
Russia,Slovenia,3.111111111
Serbia,Slovakia,3.111111111
Belgium,Bulgaria,3.114285714
Greece,Italy,3.116666667
Luxembourg,The Netherlands,3.117647059
Cyprus,Azerbaijan,3.117647059
Poland,Sweden,3.122807018
Greece,Monaco,3.133333333
Estonia,Georgia,3.133333333
Hungary,Norway,3.134615385
Norway,Russia,3.136363636
Finland,Switzerland,3.142857143
Iceland,Switzerland,3.142857143
Norway,Serbia & Montenegro,3.142857143
Croatia,Switzerland,3.148148148
Latvia,Portugal,3.15
Ireland,Australia,3.15
Austria,Hungary,3.162790698
Germany,Ireland,3.164948454
Montenegro,Greece,3.166666667
North Macedonia,France,3.166666667
Israel,Switzerland,3.170212766
Bosnia & Herzegovina,Switzerland,3.172413793
Estonia,Slovakia,3.176470588
Denmark,Hungary,3.176470588
Iceland,Latvia,3.18
Croatia,Slovakia,3.181818182
Hungary,Russia,3.183673469
Belgium,Portugal,3.183908046
Italy,Turkey,3.193548387
Austria,Italy,3.193548387
Armenia,Sweden,3.195652174
Bulgaria,Ukraine,3.204545455
France,Yugoslavia,3.208333333
Italy,Slovenia,3.210526316
Belgium,Sweden,3.22
Belgium,Turkey,3.222222222
France,The Netherlands,3.226804124
Switzerland,United Kingdom,3.226804124
Estonia,Hungary,3.24
Switzerland,Turkey,3.242424242
Austria,Sweden,3.247191011
Czech Republic,Australia,3.25
Israel,Luxembourg,3.264705882
Armenia,Spain,3.268292683
Bulgaria,Israel,3.276595745
Malta,Russia,3.279411765
Croatia,Malta,3.285714286
Belgium,Ukraine,3.285714286
Greece,Spain,3.288461538
France,Turkey,3.304347826
Germany,The Netherlands,3.315789474
Finland,Russia,3.320754717
Austria,United Kingdom,3.322222222
Denmark,United Kingdom,3.322580645
Serbia,Sweden,3.325
Belarus,Serbia & Montenegro,3.333333333
France,Serbia,3.333333333
Montenegro,Italy,3.333333333
Iceland,Portugal,3.337349398
Luxembourg,Portugal,3.342105263
Finland,Israel,3.348314607
Norway,Poland,3.349206349
Israel,United Kingdom,3.350515464
Bulgaria,Malta,3.352941176
Greece,Serbia,3.355555556
Denmark,Latvia,3.355932203
Cyprus,Romania,3.36
Lithuania,Sweden,3.375
Ireland,Italy,3.380952381
Bulgaria,Albania,3.384615385
Belgium,Russia,3.388888889
Albania,Croatia,3.390243902
Greece,Malta,3.397058824
Bosnia & Herzegovina,Norway,3.4
Andorra,Israel,3.4
France,Switzerland,3.402298851
Malta,San Marino,3.40625
Finland,Hungary,3.409090909
Ireland,The Netherlands,3.410526316
Cyprus,Georgia,3.428571429
Germany,Monaco,3.4375
Norway,The Netherlands,3.439252336
Italy,Russia,3.441176471
Belgium,Slovakia,3.444444444
Bulgaria,Russia,3.458333333
Croatia,Czech Republic,3.458333333
Albania,Azerbaijan,3.458333333
Australia,Spain,3.458333333
Germany,Sweden,3.462962963
Germany,Switzerland,3.483516484
Belgium,Poland,3.489795918
Sweden,Yugoslavia,3.5
Italy,Morocco,3.5
Morocco,Switzerland,3.5
Monaco,Bosnia & Herzegovina,3.5
Montenegro,Ukraine,3.5
San Marino,Azerbaijan,3.5
Armenia,Macedonia,3.5
The Netherlands,North Macedonia,3.5
Portugal,Romania,3.514285714
Czech Republic,Israel,3.516129032
Czech Republic,Bulgaria,3.518518519
Croatia,Ukraine,3.52
Czech Republic,Russia,3.523809524
Israel,Sweden,3.525252525
Ireland,Malta,3.529411765
Malta,Turkey,3.529411765
Moldova,San Marino,3.53125
Croatia,Hungary,3.545454545
Estonia,Iceland,3.548387097
Bulgaria,Spain,3.558823529
Australia,Germany,3.576923077
Lithuania,United Kingdom,3.583333333
Andorra,Finland,3.6
Belgium,Ireland,3.608695652
Sweden,United Kingdom,3.614678899
Croatia,Italy,3.615384615
Estonia,Ukraine,3.622222222
Georgia,Greece,3.627906977
Malta,Romania,3.633333333
Turkey,United Kingdom,3.635135135
Denmark,Germany,3.64516129
Switzerland,The Netherlands,3.646341463
Israel,Monaco,3.647058824
Cyprus,Malta,3.647058824
Italy,Lithuania,3.647058824
Czech Republic,Hungary,3.653846154
Georgia,Latvia,3.657142857
Latvia,Norway,3.660377358
Czech Republic,Bosnia & Herzegovina,3.666666667
Ireland,Norway,3.672727273
Czech Republic,Iceland,3.675
Romania,Russia,3.678571429
Russia,Serbia,3.69047619
Slovakia,Sweden,3.692307692
Austria,Ireland,3.693181818
Austria,Switzerland,3.704545455
Finland,Italy,3.706896552
Estonia,Norway,3.711864407
Iceland,Yugoslavia,3.714285714
Bosnia & Herzegovina,Slovakia,3.714285714
Finland,Norway,3.715909091
Israel,The Netherlands,3.724137931
Turkey,Ukraine,3.724137931
Belgium,France,3.725274725
Andorra,Azerbaijan,3.75
Ireland,Switzerland,3.782608696
Bulgaria,United Kingdom,3.794871795
Australia,Lithuania,3.8
Armenia,Malta,3.805555556
Hungary,Poland,3.80952381
Czech Republic,Portugal,3.823529412
Cyprus,Italy,3.833333333
Germany,Poland,3.849056604
Serbia & Montenegro,The Netherlands,3.857142857
Estonia,Ireland,3.875
Switzerland,Australia,3.888888889
Sweden,The Netherlands,3.906542056
Malta,United Kingdom,3.917808219
Italy,Poland,3.931034483
Italy,Serbia,3.933333333
Italy,Yugoslavia,3.95
Czech Republic,Slovenia,3.958333333
Bulgaria,Hungary,3.966666667
Austria,Serbia,3.96969697
Hungary,The Netherlands,3.98
Latvia,Sweden,3.983050847
Portugal,Switzerland,3.988095238
United Kingdom,Yugoslavia,4
Morocco,United Kingdom,4
Monaco,Cyprus,4
Russia,Serbia & Montenegro,4
Belarus,Lithuania,4
Australia,Latvia,4
Macedonia,Russia,4
Greece,Moldova,4.018181818
Armenia,Moldova,4.023809524
France,Luxembourg,4.027777778
Denmark,Estonia,4.068965517
Hungary,Iceland,4.081632653
Andorra,Ukraine,4.083333333
Australia,Ukraine,4.115384615
Monaco,United Kingdom,4.125
Australia,France,4.125
Australia,Norway,4.129032258
Denmark,The Netherlands,4.139784946
Montenegro,Armenia,4.148148148
Germany,Serbia & Montenegro,4.166666667
Austria,North Macedonia,4.166666667
Finland,Australia,4.181818182
Bosnia & Herzegovina,Sweden,4.1875
Denmark,Ireland,4.197802198
Montenegro,Azerbaijan,4.206896552
Ireland,Latvia,4.214285714
Portugal,Ukraine,4.230769231
Bulgaria,Moldova,4.235294118
North Macedonia,Slovenia,4.25
Italy,Switzerland,4.258064516
Czech Republic,Azerbaijan,4.258064516
Germany,Turkey,4.260869565
Belgium,Armenia,4.263157895
Malta,Sweden,4.264367816
Denmark,Monaco,4.272727273
Azerbaijan,Bosnia & Herzegovina,4.277777778
North Macedonia,Russia,4.285714286
Lithuania,Russia,4.290909091
Italy,Moldova,4.303030303
The Netherlands,Turkey,4.31147541
Bulgaria,Azerbaijan,4.321428571
Montenegro,Russia,4.366666667
Azerbaijan,Greece,4.37254902
Australia,United Kingdom,4.375
Slovakia,Ukraine,4.4
Czech Republic,Armenia,4.413793103
Romania,Spain,4.428571429
North Macedonia,Azerbaijan,4.428571429
Lithuania,Norway,4.457142857
Ireland,Luxembourg,4.472222222
North Macedonia,Malta,4.5
Israel,Romania,4.516129032
Ireland,Sweden,4.53
Armenia,Israel,4.564102564
France,Italy,4.578125
Portugal,Spain,4.589473684
Australia,Bulgaria,4.611111111
Australia,Poland,4.612903226
France,Portugal,4.630434783
Greece,Russia,4.650793651
San Marino,Albania,4.653846154
Azerbaijan,Israel,4.659574468
Hungary,Romania,4.674418605
Bulgaria,Armenia,4.7
Latvia,Ukraine,4.723404255
France,Israel,4.725274725
Austria,Bosnia & Herzegovina,4.735294118
Luxembourg,United Kingdom,4.736842105
Azerbaijan,Romania,4.743589744
Italy,Portugal,4.781818182
Armenia,Turkey,4.789473684
Malta,Australia,4.791666667
Italy,Monaco,4.8
Australia,Israel,4.806451613
Australia,Belgium,4.818181818
Slovakia,Azerbaijan,4.833333333
Hungary,Azerbaijan,4.837837838
Belarus,Armenia,4.838709677
Cyprus,Russia,4.847457627
Georgia,Russia,4.870967742
Ireland,Lithuania,4.90625
Ukraine,Lithuania,4.912280702
Israel,Yugoslavia,4.916666667
Bulgaria,Serbia,4.918918919
Italy,Spain,4.9375
The Netherlands,Armenia,4.951219512
Austria,Bulgaria,4.970588235
Estonia,Lithuania,4.980769231
Israel,Ukraine,4.981132075
France,Monaco,5
Germany,Morocco,5
Finland,Serbia & Montenegro,5
Finland,Iceland,5.012345679
San Marino,Greece,5.054054054
Romania,Turkey,5.0625
Italy,Romania,5.068965517
Hungary,Serbia,5.069767442
Belarus,Azerbaijan,5.08
Turkey,Yugoslavia,5.083333333
Italy,North Macedonia,5.1
Czech Republic,Ukraine,5.111111111
Portugal,Moldova,5.128205128
Cyprus,Serbia & Montenegro,5.142857143
Romania,Serbia & Montenegro,5.142857143
Belarus,Georgia,5.147058824
Iceland,Norway,5.232876712
Italy,Ukraine,5.25
Serbia & Montenegro,Sweden,5.285714286
San Marino,Italy,5.291666667
Latvia,Russia,5.294117647
Montenegro,Slovenia,5.310344828
Hungary,Serbia & Montenegro,5.333333333
North Macedonia,Armenia,5.333333333
Estonia,Russia,5.338983051
F.Y.R. Macedonia,Slovenia,5.363636364
Albania,Bosnia & Herzegovina,5.363636364
Greece,Romania,5.365384615
Ireland,United Kingdom,5.371134021
Switzerland,Albania,5.37254902
Finland,Sweden,5.4
Israel,Russia,5.407407407
Switzerland,Serbia & Montenegro,5.428571429
Estonia,Sweden,5.467741935
Belarus,Moldova,5.484848485
Croatia,Montenegro,5.5
Moldova,Australia,5.5
Cyprus,Yugoslavia,5.55
Albania,Serbia & Montenegro,5.571428571
Switzerland,North Macedonia,5.6
Belgium,The Netherlands,5.604651163
Georgia,Turkey,5.666666667
Malta,Azerbaijan,5.681818182
Switzerland,Serbia,5.694444444
Denmark,Australia,5.75
Denmark,Norway,5.767676768
Armenia,Ukraine,5.806451613
Bulgaria,Cyprus,5.942857143
Moldova,Azerbaijan,5.956521739
Morocco,Turkey,6
San Marino,Turkey,6
Iceland,Sweden,6.084337349
Cyprus,Armenia,6.105263158
Armenia,France,6.142857143
Andorra,Portugal,6.166666667
Australia,Sweden,6.242424242
Malta,Slovakia,6.25
Poland,Ukraine,6.341463415
F.Y.R. Macedonia,Turkey,6.35483871
Italy,Malta,6.428571429
Luxembourg,Malta,6.5
Serbia & Montenegro,Ukraine,6.5
Russia,Ukraine,6.52
Moldova,Ukraine,6.574468085
Croatia,Slovenia,6.596153846
Armenia,Greece,6.608695652
Croatia,F.Y.R. Macedonia,6.615384615
Bulgaria,Greece,6.657142857
Bosnia & Herzegovina,Slovenia,6.692307692
Norway,Sweden,6.814159292
Denmark,Iceland,6.823529412
Bulgaria,F.Y.R. Macedonia,6.897435897
Bulgaria,Turkey,6.904761905
Estonia,Finland,7.033898305
Iceland,Australia,7.090909091
Serbia,Slovenia,7.170731707
Austria,Serbia & Montenegro,7.2
Croatia,North Macedonia,7.2
Denmark,Sweden,7.38
Bosnia & Herzegovina,Turkey,7.512195122
Albania,Turkey,7.52173913
Georgia,Lithuania,7.617647059
Bosnia & Herzegovina,F.Y.R. Macedonia,7.666666667
Georgia,Ukraine,7.702702703
Croatia,Serbia,7.764705882
Azerbaijan,Ukraine,7.894736842
Moldova,Russia,7.929824561
Estonia,Latvia,7.976190476
Slovenia,Serbia & Montenegro,8
Albania,Italy,8.1
Montenegro,F.Y.R. Macedonia,8.125
Albania,Montenegro,8.2
Azerbaijan,Georgia,8.21875
Bosnia & Herzegovina,Croatia,8.222222222
Albania,Greece,8.355932203
Greece,Serbia & Montenegro,8.428571429
Belarus,Russia,8.6
Belarus,Ukraine,8.604651163
Latvia,Lithuania,8.666666667
Montenegro,Bosnia & Herzegovina,8.846153846
Azerbaijan,Russia,9.020833333
North Macedonia,Albania,9.2
Armenia,Georgia,9.258064516
Bosnia & Herzegovina,Serbia & Montenegro,9.375
Albania,F.Y.R. Macedonia,9.542857143
F.Y.R. Macedonia,Serbia,9.666666667
North Macedonia,Serbia,9.666666667
Croatia,Serbia & Montenegro,9.75
Armenia,Russia,9.853658537
F.Y.R. Macedonia,Serbia & Montenegro,9.888888889
Albania,Macedonia,10
Andorra,Spain,10.36363636
Bosnia & Herzegovina,Serbia,10.44444444
Montenegro,Serbia,10.7826087
Cyprus,Greece,10.94318182
Moldova,Romania,11.30434783
Azerbaijan,Turkey,12
Macedonia,Serbia,12
